,fruit,spices,dairy,drinks,checkout
1,0.409046597777345,0.597557738253252,0.293916023993145,0.385143729330959,1
2,0.229674400467927,0.237324130607911,0.186375321336761,0.253879419994912,0
3,0.147202183661532,0.09609769046987,0.134532990574122,0.146781989315696,0
4,0.0836420354845,0.039023095301301,0.091045415595544,0.081912999236835,0
5,0.04698771690388,0.012476771967083,0.070479862896315,0.049860086491987,0
6,0.034899590563463,0.007963897000265,0.050771208226221,0.030017807173747,0
7,0.020081887307467,0.002920095566764,0.045201371036847,0.016789620961587,0
8,0.011503217001365,0.000530926466684,0.030205655526992,0.011193080641058,0
9,0.00565412361084,0.000265463233342,0.027206512425022,0.008140422284406,0
10,0.003119516474946,0.000530926466684,0.016066838046273,0.004070211142203,0
11,0.001754728017157,0.000265463233342,0.013067694944302,0.002289493767489,0
12,0.000779879118737,0.000265463233342,0.010925449871465,0.001526329178326,0
13,0.001169818678105,0.000265463233342,0.007283633247644,0.000254388196388,0
14,0.000389939559368,0.000265463233342,0.005784061696658,0.000254388196388,0
15,0.000389939559368,0.000265463233342,0.003641816623822,0.000254388196388,0
16,0.000389939559368,0.000265463233342,0.003856041131105,0.000508776392775,0
17,0.000389939559368,0.000265463233342,0.001928020565553,0.000508776392775,0
18,0.000389939559368,0.000265463233342,0.002142245072836,0.000508776392775,0
19,0.000389939559368,0.000265463233342,0.001499571550985,0.000508776392775,0
20,0.000194969779684,0.000265463233342,0.000428449014567,0.000508776392775,0
21,0.000194969779684,0.000265463233342,0.000428449014567,0.000508776392775,0
22,0.000194969779684,0.000265463233342,0.000428449014567,0.000508776392775,0
23,0.000194969779684,0.000265463233342,0.000642673521851,0.000508776392775,0
24,0.000194969779684,0.000265463233342,0.000428449014567,0.000508776392775,0
25,0.000194969779684,0.000265463233342,0.000214224507284,0.000508776392775,0
26,0.000194969779684,0.000265463233342,0.000642673521851,0.000508776392775,0
27,0.000194969779684,0.000265463233342,0.000214224507284,0.000508776392775,0
28,0.000194969779684,0.000265463233342,0.000214224507284,0.000508776392775,0
29,0.000194969779684,0.000265463233342,0.000214224507284,0.000508776392775,0
30,0.000194969779684,0.000265463233342,0.000214224507284,0.000508776392775,0
